IBDZ	https://www.ishares.com/us/products/337465/?referrer=tickerSearch	//span[@data-id="fundamentalsAndRisk-fxHedgedYield-data"]	scrape
IBCA	https://www.ishares.com/us/products/342119/?referrer=tickerSearch	//span[@data-id="fundamentalsAndRisk-fxHedgedYield-data"]	scrape
IBCB	https://www.ishares.com/us/products/350212/ishares-ibonds-dec-2036-term-corporate-etf	//span[@data-id="fundamentalsAndRisk-fxHedgedYield-data"]	scrape
IBHF	https://www.ishares.com/us/products/316512/?referrer=tickerSearch	//span[@data-id="fundamentalsAndRisk-fxHedgedYield-data"]	scrape
IBHG	https://www.ishares.com/us/products/319422/?referrer=tickerSearch	//span[@data-id="fundamentalsAndRisk-fxHedgedYield-data"]	scrape
IBHH	https://www.ishares.com/us/products/326459/?referrer=tickerSearch	//span[@data-id="fundamentalsAndRisk-fxHedgedYield-data"]	scrape
IBHI	https://www.ishares.com/us/products/326462/?referrer=tickerSearch	//span[@data-id="fundamentalsAndRisk-fxHedgedYield-data"]	scrape
IBHJ	https://www.ishares.com/us/products/332287/?referrer=tickerSearch	//span[@data-id="fundamentalsAndRisk-fxHedgedYield-data"]	scrape
IBHK	https://www.ishares.com/us/products/337468/?referrer=tickerSearch	//span[@data-id="fundamentalsAndRisk-fxHedgedYield-data"]	scrape
IBHL	https://www.ishares.com/us/products/342115/?referrer=tickerSearch	//span[@data-id="fundamentalsAndRisk-fxHedgedYield-data"]	scrape
IBHM	https://www.ishares.com/us/products/350096/ishares-ibonds-2033-term-high-yield-and-income-etf	//span[@data-id="fundamentalsAndRisk-fxHedgedYield-data"]	
7555	https://investor.vanguard.com/mutual-funds/profile/pe/overview/7555?dbOnly=false&crossover=false&planSummaryMask=425886&FundIntExt=INT&InstFund=true&RedemptionFee=true&intPort=7555&SelectedPlanId=093926	//*[@id="ng-app-fundprofile"]/div/div[2]/div[2]/div[3]/div/div/div[2]/div[4]/div[1]/table/tbody/tr[1]/td[2]
7553	https://investor.vanguard.com/mutual-funds/profile/pe/overview/M219?dbOnly=false&crossover=false&planSummaryMask=425886&FundIntExt=INT&InstFund=true&RedemptionFee=true&intPort=M219&SelectedPlanId=093926	//*[@id="ng-app-fundprofile"]/div/div[2]/div[2]/div[3]/div/div/div[2]/div[4]/div[1]/table/tbody/tr[1]/td[2]
M219	https://investor.vanguard.com/mutual-funds/profile/pe/overview/M219?dbOnly=false&crossover=false&planSummaryMask=425886&FundIntExt=INT&InstFund=true&RedemptionFee=true&intPort=M219&SelectedPlanId=093926	//*[@id="ng-app-fundprofile"]/div/div[2]/div[2]/div[3]/div/div/div[2]/div[4]/div[1]/table/tbody/tr[1]/td[2]
8561	https://investor.vanguard.com/mutual-funds/profile/pe/overview/8561?dbOnly=false&crossover=false&planSummaryMask=425886&FundIntExt=INT&InstFund=true&RedemptionFee=true&intPort=8561&SelectedPlanId=093926	//*[@id="ng-app-fundprofile"]/div/div[2]/div[2]/div[3]/div/div/div[2]/div[4]/div[1]/table/tbody/tr[1]/td[2]
